id,name
Q879673,Björn Kraus,"German philosopher, epistemologist, and systemic therapist",+1969-01-01T00:00:00Z,
Q1665392,Gustav Fischer,German philosopher (1803-1868),+1803-11-29T00:00:00Z,+1868-03-04T00:00:00Z
Q52154039,Johannes Christenius,Dutch professor of law at the Athenaeum Illustre in Amsterdam (1599-1672),+1599-01-01T00:00:00Z,+1672-01-01T00:00:00Z
Q18110387,Benita Roy,"Bangladeshi politician, diplomat and intellectual",+1907-08-18T00:00:00Z,
Q3389031,Pipine,18th century french performer with phocomelia,+1741-00-00T00:00:00Z,+1803-00-00T00:00:00Z
Q6862002,Maʻn Ziyādah,,+1938-00-00T00:00:00Z,+1997-05-14T00:00:00Z
Q345926,Teófilo Braga,Portuguese politician (1843–1924),+1843-02-24T00:00:00Z,+1924-01-28T00:00:00Z
Q15407011,Auguste Jean Baptiste Roubille,French painter and caricaturist (1872-1955),+1872-12-15T00:00:00Z,+1955-12-06T00:00:00Z
Q15970966,Jean-Marie-Michel Liébaux,French caricaturist,+1881-07-03T00:00:00Z,+1923-01-01T00:00:00Z
Q5371837,Emilio Coia,Scottish artist,+1911-04-13T00:00:00Z,+1997-06-17T00:00:00Z
Q966522,Marco Enríquez-Ominami,Chilean filmmaker and politician,+1973-06-12T00:00:00Z,
Q325262,Ali Dashti,Iranian politician (1897-1982),+1897-03-31T00:00:00Z,+1982-01-16T00:00:00Z
Q59784800,Wacław Lipiński,Polish painter,+1898-00-00T00:00:00Z,+1974-00-00T00:00:00Z
Q55186340,Circe Rodríguez,Guatemalan Poet (1939-2005),+1939-04-12T00:00:00Z,+2005-06-01T00:00:00Z
Q99434205,Khalid I. Babaa,Palestinian political scientist and Former Arab League ambassador to Canada and the United States,+1924-02-00T00:00:00Z,+2017-10-01T00:00:00Z
Q95473800,Aleš Vyjidák,,+1948-07-21T00:00:00Z,
Q456209,Nicolas Ferry,French dwarf,+1741-11-11T00:00:00Z,+1764-06-08T00:00:00Z
Q112559928,Meredith Gran,,+1984-00-00T00:00:00Z,
Q21506453,Christina Lindith Bredenkamp,botanist (1947- ),+1947-01-01T00:00:00Z,
Q859,Plato,ancient Greek philosopher (428/423 – 348/347 BC),-0427-05-07T00:00:00Z,-0347-00-00T00:00:00Z
Q6052225,Ersin Burak,,+1946-01-01T00:00:00Z,
Q25451380,Mohammed Muzaffar Al - Adhami,Iraqi academic,+1943-00-00T00:00:00Z,
Q12223159,Abdul Fadel al-Qousi,Egyptian academic,+1944-01-01T00:00:00Z,+2020-06-03T00:00:00Z
Q1196186,John Shelby Spong,American bishop,+1931-06-16T00:00:00Z,+2021-09-12T00:00:00Z
Q65055008,Amédée Vignola,French artist,+1862-02-11T00:00:00Z,+1939-10-10T00:00:00Z
Q2656605,José Correia da Serra,Portuguese academic and botanist (1751-1823),+1750-06-06T00:00:00Z,+1823-09-11T00:00:00Z
Q108028368,Jaromír Gottvald,,+1946-01-14T00:00:00Z,
Q111959366,Wikispecies-tan,fan-Wikisister,,
Q95438782,Václav Linek,,+1946-02-23T00:00:00Z,
Q993489,Bruno Liebrucks,German philosopher,+1911-10-12T00:00:00Z,+1986-01-15T00:00:00Z
Q9364,Jean-Paul Sartre,French Existentialist philosopher (1905–1980),+1905-06-21T00:00:00Z,+1980-04-15T00:00:00Z
Q526510,Andy Z. Lehrer,Romanian entomologist (1930-2014),+1930-05-16T00:00:00Z,+2014-02-06T00:00:00Z
Q112370865,Olga Pazerini,,+1954-00-00T00:00:00Z,
Q185548,Jostein Gaarder,Norwegian author (*1952),+1952-08-08T00:00:00Z,
Q56398764,Hamid Fahmy Zarkasyi,"Islamic intellectual figure, lecturer, rector of the University of Darussalam Gontor",,
Q53545043,Francesc Bofill,1947-,+1947-01-01T00:00:00Z,+2014-01-28T00:00:00Z
Q101434043,Johannes Kangro,"Estonian painter, caricaturist",+1921-10-10T00:00:00Z,+1998-11-12T00:00:00Z
Q123382614,Camille Lieucy,,+1887-04-18T00:00:00Z,
Q23942687,Roman Koolmar,Estonian-American architect,+1904-05-08T00:00:00Z,+1971-02-01T00:00:00Z
Q189711,Zenodotus,Neoplatonist philosopher,+0500-01-01T00:00:00Z,
Q11687188,Kim,Spanish caricaturist,+1941-01-01T00:00:00Z,
Q161876,Arimasa Mori,Japanese philosopher,+1911-11-30T00:00:00Z,+1976-10-18T00:00:00Z
Q6857927,Milivoj Uzelac,Croatian painter (1897-1977),+1897-07-23T00:00:00Z,+1977-06-06T00:00:00Z
Q27514749,Serdu,Belgian draftsman,+1940-01-19T00:00:00Z,
Q127345,Hugo Kołłątaj,historian and philosopher (1750-1812),+1750-04-01T00:00:00Z,+1812-02-28T00:00:00Z
Q112527634,Vivian Scott Hixson,,+1936-00-00T00:00:00Z,
Q30753460,Annie Machordom,Spanish biologist,+1959-10-31T00:00:00Z,
Q105755203,Lucien Émond,"cartoonist, columnist and university professor (1925-2015)",+1925-05-06T00:00:00Z,+2015-01-24T00:00:00Z
Q19001472,Carlos Alberto Parra-Osorio,botanist,+1975-01-01T00:00:00Z,
Q111986722,María Cruz Bescós,,+1895-05-03T00:00:00Z,+1977-05-30T00:00:00Z
Q26997525,"Antoine-Pierre, Baron Du Tramblay",,+1745-04-27T00:00:00Z,+1819-10-24T00:00:00Z
Q9372,Sima Qian,Chinese historian and writer,-0145-00-00T00:00:00Z,-0086-00-00T00:00:00Z
Q497595,Lee Lyang,Korean philosopher (1519-1583),+1519-00-00T00:00:00Z,+1583-01-01T00:00:00Z
Q623301,William Barrett,American academic,+1913-01-01T00:00:00Z,+1992-09-08T00:00:00Z
Q661172,Iosif Iser,Romanian artist (1881-1958),+1881-05-21T00:00:00Z,+1958-04-25T00:00:00Z
Q17505295,Mike Jago,,+1938-00-00T00:00:00Z,+2006-00-00T00:00:00Z
Q493702,Seongjong,the king of the Goryeo dynasty of Korea,+0960-01-01T00:00:00Z,+0997-01-01T00:00:00Z
Q12795866,Marjan Skumavc,Slovene boxer and painter,+1947-05-24T00:00:00Z,+2011-09-07T00:00:00Z
Q21394470,Jennie van Ackeren Dieterle,"American botanist, botanical collector, curator, university teacher and taxonomist (1909-1999)",+1909-08-02T00:00:00Z,+1999-04-15T00:00:00Z
Q2820977,Abdelaziz Benabdallah,"Moroccan intellectual, writer and school teacher (1923-2012)",+1923-11-28T00:00:00Z,+2012-02-04T00:00:00Z
Q9030126,Maria Pascual Alberich,Spanish draughtsperson and comics artist (1933-2011),+1933-07-01T00:00:00Z,+2011-12-13T00:00:00Z
Q965524,Pierre Paul Royer-Collard,French academic (1763-1845),+1763-06-21T00:00:00Z,+1845-09-02T00:00:00Z
Q1405098,Ferdinand Barlog,"German draughtsperson, caricaturist and comics artist",+1895-10-14T00:00:00Z,+1955-07-06T00:00:00Z
Q118778,Egon von Tresckow,"German animator, cartoonist, illustrator and caricaturist",+1907-02-27T00:00:00Z,+1952-03-25T00:00:00Z
Q21339171,John Alan Elix,"Australian lichenologist, chemist",+1941-01-01T00:00:00Z,
Q94921115,Paul Eickmeier,,+1890-00-00T00:00:00Z,+1962-00-00T00:00:00Z
Q69557526,Carl Lindorm Möllersvärd,,+1892-07-01T00:00:00Z,+1984-04-12T00:00:00Z
Q10938636,Hildelisa Saralegui Boza,Cuban botanist,+1949-12-22T00:00:00Z,
Q108778,Albert Stöckl,German theologian (1823-1895),+1823-03-15T00:00:00Z,+1895-11-15T00:00:00Z
Q51952122,Lhoucine Lmalki,,,+2018-04-02T00:00:00Z
Q4768179,Anne Brewis,botanist (1911-2002),+1911-03-26T00:00:00Z,+2002-03-31T00:00:00Z
Q920354,Myson of Chenae,Greek Sage,-0700-01-01T00:00:00Z,
Q12239329,Mohsen Ibrahim,Lebanese politician,+1935-00-00T00:00:00Z,+2020-06-03T00:00:00Z
Q95877214,Henri Coté,,,
Q18644226,Julie Ann Hawkins,English botanist and taxonomist,+1967-01-01T00:00:00Z,
Q1222919,Dieter Thomä,German philosopher,+1959-11-29T00:00:00Z,
Q110764346,Abdul Muthalib Muhyiddin,,+1918-11-18T00:00:00Z,+1974-04-10T00:00:00Z
Q95273525,Zoran Petrović,,+1956-00-00T00:00:00Z,
Q66853,Manegold of Lautenbach,French writer,+1030-00-00T00:00:00Z,+1103-01-01T00:00:00Z
Q973872,Félicien Challaye,French philosopher (1875-1967),+1875-11-01T00:00:00Z,+1967-04-26T00:00:00Z
Q6894479,Mohsin-ul-Mulk,Indian Muslim politician,+1837-12-09T00:00:00Z,+1907-10-16T00:00:00Z
Q680632,Xavier Zubiri,Spanish philosopher (1898-1983),+1898-12-04T00:00:00Z,+1983-09-21T00:00:00Z
Q16047243,Ahmad Arabani,,,
Q109876850,Alfredo Trimarco,Italian writer and journalist (1900-1971),+1900-04-24T00:00:00Z,+1971-05-23T00:00:00Z
Q15491441,William Haselden,British cartoonist (1872-1953),+1872-12-03T00:00:00Z,+1953-12-25T00:00:00Z
Q120606652,Drew Callander,,,
Q24700824,Wolfgang Niesner,,+1925-12-18T00:00:00Z,+1994-04-23T00:00:00Z
Q3468367,Malba Tahan,fictitious Persian scholar,,
Q525306,Carl Hollitzer,Austrian cartoonist and cabaret actor (1874-1942),+1874-03-11T00:00:00Z,+1942-12-01T00:00:00Z
Q12815959,Anikó Schwartz,,+1950-01-31T00:00:00Z,
Q21001073,Alfons Vila i Franquesa,,+1897-11-19T00:00:00Z,+1967-08-28T00:00:00Z
Q371147,Marcelo Sánchez Sorondo,Catholic bishop,+1942-09-08T00:00:00Z,
Q29168585,Mohamed Mestiri,French-Tunisian thinker and personality of Islam in Europe,+1964-00-00T00:00:00Z,
Q6562825,Sakakibara Kōshū,Japanese Confucian in early-Edo period,+1656-00-00T00:00:00Z,+1706-02-15T00:00:00Z
Q619,Nicolaus Copernicus,Polish mathematician and astronomer (1473–1543),+1473-02-19T00:00:00Z,+1543-05-24T00:00:00Z
Q1374631,Lutz Geldsetzer,German philosopher (1937-2019),+1937-02-28T00:00:00Z,+2019-08-14T00:00:00Z
Q3105530,Gil Formosa,French cartoonist and illustrator,+1959-00-00T00:00:00Z,
Q12245618,Mansour Khalid,Sudanese politician,+1931-01-17T00:00:00Z,+2020-04-22T00:00:00Z
Q21611654,Susan Elizabeth Verhoek-Williams,American botanist (born 1942),+1942-01-01T00:00:00Z,
Q3420722,Raymond Burki,Swiss caricaturist (1949-2016),+1949-09-02T00:00:00Z,+2016-12-29T00:00:00Z
Q24431414,Marian Matocha,,+1935-00-00T00:00:00Z,+2022-01-05T00:00:00Z
Q21518420,G.F. Laundon,New Zealand-based mycologist and plant pathologist (1938–1984),+1938-01-01T00:00:00Z,+1984-01-01T00:00:00Z
Q715203,Thomas Burnet,English theologian and writer (1635-1715),+1635-00-00T00:00:00Z,+1715-09-27T00:00:00Z
Q6007341,Ufuk Uyanık,,+1963-01-01T00:00:00Z,
Q63346891,Charles Gatchell,"American illustrator, cartoonist and editor",+1883-00-00T00:00:00Z,+1933-04-05T00:00:00Z
Q25973,Hermann Hesse,German writer (1877–1962),+1877-07-02T00:00:00Z,+1962-08-09T00:00:00Z
Q12735503,Mihai Pânzaru-Pim,,+1946-01-16T00:00:00Z,
Q19630174,César Giris,Italian painter and sculptor (1877-1941),+1877-00-00T00:00:00Z,+1941-10-00T00:00:00Z
Q102282875,Alfredo Anelli,"Italian pianist, composer and caricaturist (1877-1974)",+1877-00-00T00:00:00Z,+1974-00-00T00:00:00Z
Q744125,Chaerephon,5th-century BC Greek philosopher,-0401-01-01T00:00:00Z,-0401-01-01T00:00:00Z
Q439913,Paola Cavalieri,Italian philosopher,+1950-10-26T00:00:00Z,
Q99741444,Wölf Pelauf,,,
Q109854075,Mario Molinari,"Italian painter, illustrator and caricaturist (1903-1966)",+1903-01-01T00:00:00Z,+1966-01-25T00:00:00Z
Q10969300,Raouf Ayad,,+1940-09-25T00:00:00Z,+2006-01-22T00:00:00Z
Q189506,Aristippus,"Greek philosopher, founder of Cyrenaicism (c.435–c.356 BCE)",-0434-00-00T00:00:00Z,-0355-01-01T00:00:00Z
Q84552,Hans Hahn,Austrian mathematician (1879–1934),+1879-09-27T00:00:00Z,+1934-07-24T00:00:00Z
Q838996,Lucrețiu Pătrășcanu,Romanian politician (1900-1954),+1900-11-04T00:00:00Z,+1954-04-17T00:00:00Z
Q1287486,Metrocles,Cynic philosopher,-0400-01-01T00:00:00Z,-0300-01-01T00:00:00Z
Q517365,Eleonora Ziemięcka,Polish philosopher and publicist,+1819-01-01T00:00:00Z,+1869-09-23T00:00:00Z
Q50386830,Rigoletto,operatic character in the opera Rigoletto by Giuseppe Verdi,,
Q15961988,Delfino Insolera,,+1920-04-06T00:00:00Z,+1987-12-23T00:00:00Z
Q19843946,Roger Bour,French herpetologist and taxonomist,+1947-07-09T00:00:00Z,+2020-03-07T00:00:00Z
Q3009667,Cândido Aragonez de Faria,"journalist, caricaturist, illustrator and Brazilian teacher (1849-1911)",+1849-08-12T00:00:00Z,+1911-12-17T00:00:00Z
Q22673227,Jean-Baptiste Côté,Canadian engraver and cartoonist,+1832-05-30T00:00:00Z,+1907-04-09T00:00:00Z
Q693819,Francis Wolff,French philosopher and professor,+1950-08-19T00:00:00Z,
Q969881,Camillo Berneri,Italian philosopher,+1897-05-20T00:00:00Z,+1937-05-05T00:00:00Z
Q7145717,Patricia Mather,Australian zoologist (1925–2012),+1925-12-12T00:00:00Z,+2012-01-04T00:00:00Z
Q1556464,John Kay,British artist,+1742-01-01T00:00:00Z,+1826-02-21T00:00:00Z
Q95074483,Miroslav Šmíd,,+1923-04-21T00:00:00Z,+2001-03-06T00:00:00Z
Q1483866,Michail Ivanovič Karinskij,Russian philosopher,+1840-11-16T00:00:00Z,+1917-07-20T00:00:00Z
Q64606225,Georgy Lyubarsky,"Russian entomologist, taxonomist, science historian, philosopher",+1959-11-15T00:00:00Z,
Q6053789,Mehmet Cagcag,,+1959-01-01T00:00:00Z,
Q106716013,Émile Villa,"French artist, 1836-",+1836-01-01T00:00:00Z,+1900-01-01T00:00:00Z
Q104274,Heinrich Schmidt,German naturalist and philosopher,+1874-12-18T00:00:00Z,+1935-05-02T00:00:00Z
Q1586140,Harriet Creighton,American geneticist (1909-2004),+1909-06-27T00:00:00Z,+2004-01-09T00:00:00Z
Q94908242,Gerhard Kreische,German painter and graphic artist,+1905-00-00T00:00:00Z,+1974-00-00T00:00:00Z
Q1529305,Jochanan Trilse-Finkelstein,"German philosopher, opinion journalist and writer",+1932-10-10T00:00:00Z,+2017-03-23T00:00:00Z
Q15839344,Jane Brotherton Walker,Kenyan-born British taxonomist  and parasitologist,+1925-01-31T00:00:00Z,+2009-04-03T00:00:00Z
Q68110202,W. K. Patrick,American cartoonist,+1873-00-00T00:00:00Z,
Q1493020,Michel Meyer,Belgian philologist and philosopher,+1950-11-11T00:00:00Z,+2022-05-23T00:00:00Z
Q12372166,Peet Aren,Estonian painter (1889-1970),+1889-06-29T00:00:00Z,+1970-01-26T00:00:00Z
Q12662893,Leonas Juozonis,,+1922-00-00T00:00:00Z,+2015-12-28T00:00:00Z
Q76516,Richard Avenarius,German philosopher (1843-1896),+1843-11-19T00:00:00Z,+1896-08-18T00:00:00Z
Q6110748,Jacint Morera,Catalan Artist (1915-1989),+1915-11-15T00:00:00Z,+1989-07-01T00:00:00Z
Q21387724,Glen M. Kohls,,+1905-01-01T00:00:00Z,+1986-01-01T00:00:00Z
Q41884744,Maria Pascoli,Italian writer and poet,+1865-11-01T00:00:00Z,+1953-12-05T00:00:00Z
Q95339854,Rolf Büthe,,+1942-00-00T00:00:00Z,
Q1504990,Georg Klein,German jurist (1895-1966),+1895-09-02T00:00:00Z,+1966-04-14T00:00:00Z
Q47526632,Marcel Péju,French journalist (1922-2005),+1922-10-13T00:00:00Z,+2005-12-04T00:00:00Z
Q13038763,Fahri Axhanela,,,
Q13016261,Bandit Euaporn,,+1965-07-02T00:00:00Z,
Q29419975,Toomas Rudolf Gutmann,,+1873-01-01T00:00:00Z,+1936-09-22T00:00:00Z
Q430765,Roger Caillois,French author and philosopher (1913-1978),+1913-03-03T00:00:00Z,+1978-12-21T00:00:00Z
Q109938098,Guznag,,+1985-01-01T00:00:00Z,
Q463307,Bjarni Jónsson,Icelandic mathematician (1920-2016),+1920-02-15T00:00:00Z,+2016-09-30T00:00:00Z
Q515319,Andrzej Mostowski,Polish mathematician,+1913-11-01T00:00:00Z,+1975-08-22T00:00:00Z
Q21517517,Charlotte Maria King,"agronomist, mycologist, and botanist (1864-1937)",+1864-01-01T00:00:00Z,+1937-01-01T00:00:00Z
Q12875339,Giorgos Katsimbalis,Greek writer,+1899-01-01T00:00:00Z,+1978-07-25T00:00:00Z
Q67409,Christian Charles Josias von Bunsen,German diplomat and scholar (1791-1860),+1791-08-25T00:00:00Z,+1860-11-28T00:00:00Z
Q18011928,Bernard Bluet d’Arbères,,+1556-00-00T00:00:00Z,+1606-07-00T00:00:00Z
Q4685688,Adrienne Clarke,Australian plant geneticist & botanist (1938 -),+1938-01-06T00:00:00Z,
Q6789238,Matt Richtel,writer,+1966-10-02T00:00:00Z,
Q23012065,Carl Edler von Stur,"Austrian painter, lithographer and caricaturist",+1840-02-10T00:00:00Z,+1905-06-03T00:00:00Z
Q2903315,Taha Jabir Alalwani,academic,+1935-01-01T00:00:00Z,+2016-03-04T00:00:00Z
Q60694254,Ermi Littover,,+1921-01-01T00:00:00Z,+2015-06-11T00:00:00Z
Q40174438,Béla Gróf,,+1883-10-12T00:00:00Z,+1936-09-20T00:00:00Z
Q1624057,Krastyo Krastev,Bulgarian philosopher,+1866-05-31T00:00:00Z,+1919-04-15T00:00:00Z
Q725050,John Burnet,Scottish classicist (1863-1928),+1863-12-09T00:00:00Z,+1928-05-26T00:00:00Z
Q218672,Maximus Planudes,"Byzantine anthologist, translator",+1260-01-01T00:00:00Z,+1305-00-00T00:00:00Z
Q107558686,Susana Fiorito,,+1928-03-11T00:00:00Z,
Q27105794,Tomás O. Eastman,,+1865-10-06T00:00:00Z,+1931-04-23T00:00:00Z
Q23683447,Bella MacCallum,New Zealand and British botanist and mycologist (1886-1927),+1886-00-00T00:00:00Z,+1927-03-17T00:00:00Z
Q717658,Jesús Huerta de Soto,professor of political economy and author,+1956-12-23T00:00:00Z,
Q1327818,Elemotho,Namibian philosopher and psychologist,+2000-01-01T00:00:00Z,
Q57289121,Marco D'Antraccoli,,,
Q88946819,Pierre Coustel,,+1624-01-01T00:00:00Z,+1704-10-16T00:00:00Z
Q852485,Róbert Byssz,Hungarian painter,+1893-11-02T00:00:00Z,+1961-07-08T00:00:00Z
Q3605297,Adib Ishaq,arab intellectual,+1856-01-21T00:00:00Z,+1885-06-12T00:00:00Z
Q94930964,Georges Simon Dharm,,+1881-00-00T00:00:00Z,+1937-00-00T00:00:00Z
Q3148204,Ignacio J. de la Riva,Spanish zoologist,+1960-01-01T00:00:00Z,
Q95267,Georg Gustav Fülleborn,"German philosopher, philologist and miscellaneous writer",+1769-03-02T00:00:00Z,+1803-02-06T00:00:00Z
Q12240302,Mohamed Bouslimani,Algerian politician (died 1993),+1941-05-05T00:00:00Z,+1993-11-26T00:00:00Z
Q188663,Marin Mersenne,"French theologian, philosopher, mathematician and music theorist, often referred to as the ""father of acoustics"" (1588-1648)",+1588-09-08T00:00:00Z,+1648-09-01T00:00:00Z
Q6733678,Jacky Yarhi,,+1965-00-00T00:00:00Z,
Q42889030,Aleksander Rosin,,+1884-01-01T00:00:00Z,
Q85302428,Khalil Ahmad Khalil,"thinker, researcher, translator, and academic from Lebanon, born in 1942 in the town of Tyre (South Lebanon)",+1942-11-12T00:00:00Z,
Q36525215,C.T. Hök,botanist (1807-1877),+1807-04-07T00:00:00Z,+1877-03-16T00:00:00Z
Q332905,J. Barkley Rosser,American logician,+1907-12-06T00:00:00Z,+1989-09-05T00:00:00Z
Q21512220,Chedly Belkhamsa,"Tunisian painter, illustrator, caricaturist and theater scenographer",+1947-00-00T00:00:00Z,
Q334078,"Richard Haldane, 1st Viscount Haldane",British politician (1856-1928),+1856-07-30T00:00:00Z,+1928-08-19T00:00:00Z
Q435402,Sylvie Germain,French writer,+1954-01-08T00:00:00Z,
Q18984399,Elizabeth Edgar,New Zealand botanist (1929-2019),+1929-12-27T00:00:00Z,+2019-01-01T00:00:00Z
Q709241,Hong Liangji,Qing dynasty person CBDB=30731,+1746-01-01T00:00:00Z,+1809-01-01T00:00:00Z
Q3479239,Serge Chapleau,French Canadian editorial cartoonist,+1945-12-05T00:00:00Z,
Q15969970,Auguste Roedel,French caricaturist (1859-1900),+1859-02-05T00:00:00Z,+1900-04-13T00:00:00Z
Q94928115,Friedrich Lilotte,,+1818-00-00T00:00:00Z,+1873-00-00T00:00:00Z
Q66023,Friedrich Wilhelm Foerster,"German academic, philosopher, editor and pacifist (1869-1966)",+1869-06-02T00:00:00Z,+1966-01-09T00:00:00Z
Q9554,Martin Luther,"German priest, theologian and author (1483–1546)",+1483-11-10T00:00:00Z,+1546-02-18T00:00:00Z
Q95077237,Jiří Brynda,,+1971-01-26T00:00:00Z,+2009-12-05T00:00:00Z
Q1388759,René Maheu,French philosopher,+1905-03-28T00:00:00Z,+1975-12-19T00:00:00Z
Q113486616,Georg Brandes,German artist,+1878-00-00T00:00:00Z,+1961-00-00T00:00:00Z
Q91232076,Thomas Le Blanc,"Le Blanc, Thomas, 1599-1669",+1599-08-25T00:00:00Z,+1669-01-01T00:00:00Z
Q107684550,David Heppell,"British malacologist, researcher, taxonomist",+1937-00-00T00:00:00Z,+2004-00-00T00:00:00Z
Q969675,Joseph Solomon Delmedigo,Greek rabbi (*1591 – †1655),+1591-06-16T00:00:00Z,+1655-10-16T00:00:00Z
Q120406050,"Saʿd al-Dīn, Muḥammad Munīr",,+1933-00-00T00:00:00Z,+2015-08-28T00:00:00Z
Q105394168,Kamel Zaghbani,Tunisian writer,+1965-00-00T00:00:00Z,+2020-06-14T00:00:00Z
Q28105194,Le Hic,,+1969-00-00T00:00:00Z,
Q6081567,Ahmet Yılmaz,,+1966-01-20T00:00:00Z,
Q63554602,Andrei Păunescu,Romanian musician and writer,+1969-05-03T00:00:00Z,
Q1170070,Philipp Lersch,German psychologist and philosopher (1898-1972),+1898-04-04T00:00:00Z,+1972-03-15T00:00:00Z
Q21339595,Miguel Ángel Alonso-Zarazaga,Spanish biologist,+1956-03-05T00:00:00Z,
Q1376440,Pranas Dovydaitis,Lithuanian politician (1886-1942),+1886-12-02T00:00:00Z,+1942-11-04T00:00:00Z
Q602329,Emmett Kelly,American clown,+1898-12-09T00:00:00Z,+1979-03-28T00:00:00Z
Q124070,Heinrich Glarean,polymath and humanist,+1488-00-00T00:00:00Z,+1563-03-28T00:00:00Z
Q12236204,Kamal al-Haydari,Iraqi Ayatollah,+1956-01-01T00:00:00Z,
Q19897685,Tomás Mur,"Spanish painter, sculptor, architect, writer and caricaturist",+1855-00-00T00:00:00Z,
Q1460340,Friedrich Kaulbach,German philosopher (1912-1992),+1912-06-15T00:00:00Z,+1992-05-10T00:00:00Z
Q1299396,Mátyás Szlávik,,+1860-10-22T00:00:00Z,+1937-12-03T00:00:00Z
Q1334326,Macedonio Fernández,Argentine writer,+1874-06-01T00:00:00Z,+1952-02-10T00:00:00Z
Q12727288,Ecaterina Bălăcioiu-Lovinescu,Romanian intellectual and teacher,+1887-03-01T00:00:00Z,+1960-06-07T00:00:00Z
Q95330878,Lutz Hirschmann,,+1949-00-00T00:00:00Z,
Q1079888,Christian Gottfried Findeisen,German philosopher,+1738-01-01T00:00:00Z,+1796-07-13T00:00:00Z
Q96742235,Lola Odelola,British software engineer and campaigner,+1992-06-24T00:00:00Z,
Q29006830,Susanna van Baerle,intellectual and poet from the Northern Netherlands (1622-1674),+1622-01-20T00:00:00Z,+1674-07-11T00:00:00Z
Q3568588,William Edward Duellman,U.S. herpetologist (1930–2022),+1930-09-06T00:00:00Z,+2022-00-00T00:00:00Z
Q467630,Ivan Aksakov,Russian writer and notable slavophile (1823-1886),+1823-09-26T00:00:00Z,+1886-01-27T00:00:00Z
Q43128119,Adrian Bury,"English painter, born 1891",+1893-12-06T00:00:00Z,+1991-01-01T00:00:00Z
Q56285783,Zoe T. Richards,coral taxonomist and researcher,,
Q18537546,Matty Aslan,,+1924-05-07T00:00:00Z,+1995-09-21T00:00:00Z
Q88643035,Kjell Grinden,,+1957-00-00T00:00:00Z,
Q10307467,Joachim da Silva Tavares,entomologist and botanist (1866-1931),+1866-08-17T00:00:00Z,+1931-09-02T00:00:00Z
Q68935303,Roxy,cartoonist,,
Q16207064,Sudhanshu Sharma,Indian educationist and polymath,+1969-02-19T00:00:00Z,
Q63630,Odo Marquard,philosopher (1928-2015),+1928-02-26T00:00:00Z,+2015-05-09T00:00:00Z
Q106964085,Karl Rob,"Austrian publisher, painter and caricaturist",+1891-00-00T00:00:00Z,
Q5697937,Antonio Caballero Holguín,"Colombian cartoonist, journalist and author",+1945-05-15T00:00:00Z,+2021-09-10T00:00:00Z
Q21971358,Gustave Donjean,"French painter, lithographer and caricaturist (1800-1899)",+1800-00-00T00:00:00Z,+1899-00-00T00:00:00Z
Q100138089,John Jennings,American illustrator,+1970-00-00T00:00:00Z,
Q52154023,Tobias Magirus,German polymath (1586-1652),+1586-05-25T00:00:00Z,+1652-01-06T00:00:00Z
Q315158,Mirza Fatali Akhundov,"Azerbaijani playwright, philosopher, and founder of Azerbaijani modern literary criticism",+1812-07-12T00:00:00Z,+1878-03-10T00:00:00Z
Q115466525,Colin G. Ogden,British biologist and taxonomist,+1934-00-00T00:00:00Z,+1991-12-00T00:00:00Z
Q1159331,Alpar Lošonc,Hungarian philosopher from Serbia,+1958-07-07T00:00:00Z,
Q84167374,Dorothy Johnson Knull,American entomologist and collector,+1908-01-15T00:00:00Z,+1992-06-24T00:00:00Z
Q65215281,Varga Imre,,+1863-04-22T00:00:00Z,+1942-01-14T00:00:00Z
Q60094760,Ferghane Azihari,French political activist,+1993-10-16T00:00:00Z,
Q10897789,Liu Xuan,Sui dynasty scholar,+0546-00-00T00:00:00Z,+0613-00-00T00:00:00Z
Q746905,Miroslav Kusý,Czechoslovak member of parliament and Slovak politician (1931-2019),+1931-12-01T00:00:00Z,+2019-02-13T00:00:00Z
Q6097020,Rafael Barajas,Mexican cartoonist,+1956-01-01T00:00:00Z,
Q95244123,Roman Kubec,,+1954-09-30T00:00:00Z,
Q12360116,Axel Roosmann,,+1899-08-14T00:00:00Z,+1974-02-22T00:00:00Z
Q19966927,Michael Balke,German zoologist,+1967-01-01T00:00:00Z,
Q735601,Junayd of Baghdad,Persian Islamic mystic and Sufi saint (830–910),+0830-01-01T00:00:00Z,+0910-04-13T00:00:00Z
Q1150686,César Chesneau Dumarsais,Early eighteenth century French philosopher and grammarian,+1676-07-17T00:00:00Z,+1756-06-11T00:00:00Z
Q5565336,Giuseppe Barberi,architect,+1746-01-01T00:00:00Z,+1809-01-01T00:00:00Z
Q8353897,Dardo Regules,,+1887-00-00T00:00:00Z,+1961-00-00T00:00:00Z
Q112448997,Martin Neubauer,1958-,+1958-00-00T00:00:00Z,
Q67258,Johann Heinrich Abicht,German philosopher,+1762-05-04T00:00:00Z,+1816-04-28T00:00:00Z
Q4755277,Andrea Smith,"American academic, women's rights and anti-violence activist",+1966-06-14T00:00:00Z,
Q54877400,Franziska Schlopsnies,"German fashion, poster and graphic designer",+1884-12-01T00:00:00Z,+1944-12-30T00:00:00Z
Q57085,Erich Fromm,German sociologist and psychoanalyst,+1900-03-23T00:00:00Z,+1980-03-18T00:00:00Z
Q470566,Antoine Gombaud,French writer and mathematician,+1607-01-01T00:00:00Z,+1684-12-29T00:00:00Z
Q174880,Teresa of Ávila,Roman Catholic saint (1515-1582),+1515-03-28T00:00:00Z,+1582-10-15T00:00:00Z
