id,name
Q12217166,Suhayl Qāshā,"Iraqi Christian historian, thinker, and clergyman",+1942-00-00T00:00:00Z,+2022-02-19T00:00:00Z
Q47504599,Shane F. McEvey,Australian taxonomist and entomologist,+2000-00-00T00:00:00Z,
Q20412256,Abdul Aziz Taj,,+1945-01-03T00:00:00Z,
Q16168441,Bohdan Bocianowski,,+1911-02-05T00:00:00Z,+1983-08-02T00:00:00Z
Q725642,Clarence Irving Lewis,American philosopher (1883–1964),+1883-04-12T00:00:00Z,+1964-02-03T00:00:00Z
Q66382655,Marjan Bregar,,+1928-00-00T00:00:00Z,+2009-00-00T00:00:00Z
Q969533,Tahar al-Haddad,"Tunisian intellectual, trade unionist and politician",+1899-12-04T00:00:00Z,+1935-12-07T00:00:00Z
Q42888571,Aarend Sepp,Estonian caricaturist and film cinematographer,+1943-01-01T00:00:00Z,
Q278732,Aref Ali Nayed,"Libyan islamic scholar and Ex Libya Ambassador to UAE, and Presidential Candidate on 2021 Election",+1962-01-01T00:00:00Z,
Q7514197,Silas Malafaia,"Brazilian Pentecostal pastor, author and televangelist",+1956-08-20T00:00:00Z,
Q104006568,Carlos Alberto Martínez-Muñoz,Cuban myriapodologist and taxonomist,+1985-00-00T00:00:00Z,
Q720339,Michael Bertiaux,Occult writer,+1935-01-18T00:00:00Z,
Q82285685,Lison Bernet,French cartoonist,,
Q61110510,Jan Lätt,,+1976-01-01T00:00:00Z,
Q7398368,Safar Al-Hawali,Saudi Arabian scholar (born 1950),+1950-04-18T00:00:00Z,
Q590501,Lorenzo Magalotti,"Italian philosopher, poet and diplomat (1637-1712)",+1637-10-24T00:00:00Z,+1712-03-02T00:00:00Z
Q20007006,Iustin Handrea,,+1905-04-12T00:00:00Z,+1973-10-28T00:00:00Z
Q28497123,Rafael Morales,Swiss drawer,+1969-08-17T00:00:00Z,
Q446155,Cronius the Pythagorean,ancient Greek philosopher,+0200-01-01T00:00:00Z,+0200-01-01T00:00:00Z
Q12377813,Urmas Nemvalts,,+1968-08-04T00:00:00Z,
Q106590097,"Ершов, Павел Михайлович",,+1980-03-29T00:00:00Z,
Q6101403,Raúl Rangel Frías,"Mexican writer, politician and intellectual",+1913-03-15T00:00:00Z,+1993-04-08T00:00:00Z
Q94917793,Léo Gyaniny,,+1901-00-00T00:00:00Z,+1913-00-00T00:00:00Z
Q5959532,Majid Adibzadeh,Iranian writer and scholar,+1980-01-01T00:00:00Z,
Q8459748,Fu Xuancong,researcher,+1933-11-18T00:00:00Z,+2016-01-23T00:00:00Z
Q114566986,Agatino Sozzi,,+1760-01-01T00:00:00Z,+1837-01-01T00:00:00Z
Q73563612,Jean Paul Marie Euzéby,microbiologist,,
Q59818400,Dumitru Dogaru,Romanian intelectual (1907-1993),+1907-10-26T00:00:00Z,+1993-04-18T00:00:00Z
Q6687255,L. M. Glackens,American illustrator and cartoonist,+1866-01-01T00:00:00Z,+1933-01-01T00:00:00Z
Q23908377,Viktor Kerényi-Nagy,Hungarian botanist,+1985-02-03T00:00:00Z,
Q600551,Ehrentraud Bayer,German botanist (born 1953),+1953-01-01T00:00:00Z,
Q317632,John Philoponus,Byzantine philologist and philosopher (c.490–c.570),+0490-01-01T00:00:00Z,+0570-01-01T00:00:00Z
Q201484,John Dee,"16th-century English mathematician, astrologer, and alchemist",+1527-07-13T00:00:00Z,+1608-12-00T00:00:00Z
