start_node,edge_type,end_node
Q112364957,P569,+1902-00-00T00:00:00Z
Q107387561,P569,+1975-04-11T00:00:00Z
Q96920,P569,+1906-07-12T00:00:00Z
Q96920,P570,+1997-10-26T00:00:00Z
Q354342,P569,+0154-07-11T00:00:00Z
Q354342,P570,+0222-01-01T00:00:00Z
Q203952,P569,+1753-06-26T00:00:00Z
Q203952,P570,+1801-04-11T00:00:00Z
Q563138,P569,+1846-09-01T00:00:00Z
Q563138,P570,+1892-07-17T00:00:00Z
Q255261,P570,+1678-05-04T00:00:00Z
Q255261,P569,+1607-11-05T00:00:00Z
Q788247,P570,+1782-04-30T00:00:00Z
Q788247,P569,+1725-03-13T00:00:00Z
Q1442423,P569,+1852-06-27T00:00:00Z
Q1442423,P570,+1922-09-16T00:00:00Z
Q16467778,P569,+1873-06-05T00:00:00Z
Q16467778,P570,+1959-00-00T00:00:00Z
Q7325203,P570,+1880-04-13T00:00:00Z
Q7325203,P569,+1795-01-01T00:00:00Z
Q780899,P569,+1805-06-27T00:00:00Z
Q780899,P570,+1897-10-07T00:00:00Z
Q2264505,P569,+1954-05-07T00:00:00Z
Q86371,P569,+1906-05-04T00:00:00Z
Q86371,P570,+1987-04-21T00:00:00Z
Q19630506,P569,+1878-00-00T00:00:00Z
Q19630506,P570,+1937-00-00T00:00:00Z
Q24081307,P569,+1793-01-01T00:00:00Z
Q24081307,P570,+1863-07-23T00:00:00Z
Q76430,P569,+1780-06-01T00:00:00Z
Q76430,P570,+1831-11-16T00:00:00Z
Q366862,P569,+1633-01-01T00:00:00Z
Q366862,P570,+1669-10-15T00:00:00Z
Q17447109,P569,+1968-02-28T00:00:00Z
Q64171517,P569,+1946-00-00T00:00:00Z
Q1822121,P569,+1857-03-20T00:00:00Z
Q1822121,P570,+1915-01-20T00:00:00Z
Q243771,P569,+1875-07-26T00:00:00Z
Q243771,P570,+1939-02-22T00:00:00Z
Q71033,P570,+1662-03-10T00:00:00Z
Q71033,P569,+1600-01-01T00:00:00Z
Q995457,P569,+1952-04-15T00:00:00Z
Q114565406,P569,+1905-00-00T00:00:00Z
Q1312168,P569,+1950-03-13T00:00:00Z
Q20390245,P570,+2003-12-25T00:00:00Z
Q20390245,P569,+1918-00-00T00:00:00Z
Q64661,P569,+1800-03-05T00:00:00Z
Q64661,P570,+1875-12-13T00:00:00Z
Q95566240,P569,+1960-00-00T00:00:00Z
Q83426081,P569,+1900-00-00T00:00:00Z
Q83426081,P570,+2000-00-00T00:00:00Z
Q928551,P570,+0300-01-01T00:00:00Z
Q928551,P569,+0200-00-00T00:00:00Z
Q98338,P569,+1958-04-12T00:00:00Z
Q31092827,P569,+1951-04-20T00:00:00Z
Q119981532,P569,+1956-05-14T00:00:00Z
Q2107880,P569,+1973-03-05T00:00:00Z
Q18808525,P569,+1983-00-00T00:00:00Z
Q16120747,P569,+1932-01-01T00:00:00Z
Q16120747,P570,+2022-05-20T00:00:00Z
Q96263,P569,+1943-07-18T00:00:00Z
Q121913074,P569,+1936-08-18T00:00:00Z
Q121913074,P570,+2016-07-05T00:00:00Z
Q106846693,P570,+1982-00-00T00:00:00Z
Q193257,P569,+1924-08-10T00:00:00Z
Q193257,P570,+1998-04-21T00:00:00Z
Q21515772,P569,+1887-01-01T00:00:00Z
Q21515772,P570,+1972-01-01T00:00:00Z
Q10284753,P569,+1884-10-27T00:00:00Z
Q10284753,P570,+1969-06-06T00:00:00Z
Q6872108,P569,+1901-01-01T00:00:00Z
Q6872108,P570,+1973-01-01T00:00:00Z
Q123867,P569,+1740-06-02T00:00:00Z
Q123867,P570,+1814-12-02T00:00:00Z
Q85766,P569,+1853-01-20T00:00:00Z
Q85766,P570,+1925-01-28T00:00:00Z
Q95099205,P569,+1876-10-19T00:00:00Z
Q95099205,P570,+1949-01-01T00:00:00Z
Q65861,P569,+1866-06-29T00:00:00Z
Q65861,P570,+1928-07-08T00:00:00Z
Q105817345,P569,+1929-00-00T00:00:00Z
Q105817345,P570,+2013-11-24T00:00:00Z
Q90790274,P570,+1991-07-19T00:00:00Z
Q311772,P569,+1917-03-06T00:00:00Z
Q311772,P570,+2003-08-30T00:00:00Z
Q112385981,P569,+1956-00-00T00:00:00Z
Q190302,P569,+1715-01-26T00:00:00Z
Q190302,P570,+1771-12-26T00:00:00Z
Q395722,P569,+1497-00-00T00:00:00Z
Q395722,P570,+1548-00-00T00:00:00Z
Q23731487,P569,+1965-00-00T00:00:00Z
Q723578,P569,+1942-06-29T00:00:00Z
Q723578,P570,+2000-03-05T00:00:00Z
Q575886,P570,+2012-04-03T00:00:00Z
Q575886,P569,+1919-01-17T00:00:00Z
Q4523750,P569,+1540-00-00T00:00:00Z
Q4523750,P570,+1591-00-00T00:00:00Z
Q4814993,P570,+1967-08-26T00:00:00Z
Q4814993,P569,+1879-01-21T00:00:00Z
Q22689364,P569,+1937-02-14T00:00:00Z
