Q44490,John Henry Newman,"English cleric, cardinal and saint (1801-1890)",+1801-02-21T00:00:00Z,+1890-08-11T00:00:00Z,https://en.wikipedia.org/wiki/John_Henry_Newman
Q9215,Sigmund Freud,Austrian neurologist and founder of psychoanalysis (1856–1939),+1856-05-06T00:00:00Z,+1939-09-23T00:00:00Z,https://en.wikipedia.org/wiki/Sigmund_Freud
Q39837,Averroes,Arab Andalusian Muslim writer and philosopher (1126–1198),+1126-04-14T00:00:00Z,+1198-12-10T00:00:00Z,https://en.wikipedia.org/wiki/Averroes
Q445939,Roger Scruton,English conservative philosopher and writer,+1944-02-27T00:00:00Z,+2020-01-12T00:00:00Z,https://en.wikipedia.org/wiki/Roger_Scruton
Q731904,Valentin Ferdinandovich Asmus,Russian philosopher,+1894-12-18T00:00:00Z,+1975-06-04T00:00:00Z,https://en.wikipedia.org/wiki/Valentin_Asmus_(philosopher)
Q928551,Origen the Pagan,3rd century Alexandrian Platonist philosopher,+0200-00-00T00:00:00Z,+0300-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Origen_the_Pagan
Q1035,Charles Darwin,English naturalist and biologist (1809–1882),+1809-02-12T00:00:00Z,+1882-04-19T00:00:00Z,https://en.wikipedia.org/wiki/Charles_Darwin
Q7231,Rosa Luxemburg,"German-Polish Marxist theorist, socialist philosopher, and revolutionary, editor (1871–1919)",+1871-03-05T00:00:00Z,+1919-01-15T00:00:00Z,https://en.wikipedia.org/wiki/Rosa_Luxemburg
Q78603,Christian von Ehrenfels,Austrian philosopher (1859-1932),+1859-06-20T00:00:00Z,+1932-09-08T00:00:00Z,https://en.wikipedia.org/wiki/Christian_von_Ehrenfels
Q177847,Lucian of Samosata,2nd-century Syrian satirist and rhetorician,+0120-00-00T00:00:00Z,+0200-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Lucian
Q35802,Benedictus de Spinoza,Dutch philosopher (1632–1677),+1632-11-24T00:00:00Z,+1677-02-21T00:00:00Z,https://en.wikipedia.org/wiki/Baruch_Spinoza
