start_node,edge_type,end_node
Q16644153,P69,Q4292118
Q16644153,P101,Q5891
Q16644153,P106,Q901
Q45013,P135,Q193589
Q45013,P106,Q4964182
Q45013,P1066,Q859
Q45013,P2348,Q428995
Q16174141,P27,Q41642
Q16174141,P106,Q4964182
Q1637291,P27,Q179876
Q1637291,P106,Q170790
Q108540452,P106,Q4964182
Q108540452,P27,Q40
Q7969006,P69,Q49167
Q7969006,P27,Q30
Q7969006,P106,Q36180
Q7969006,P101,Q7748
Q3559521,P27,Q142
Q3559521,P106,Q4964182
Q3559521,P69,Q83259
Q3559521,P185,Q93243927
Q3017342,P1066,Q423980
Q3017342,P106,Q4964182
Q10316219,P106,Q3658608
Q10316219,P27,Q38
Q11983715,P27,Q20
Q11983715,P106,Q4964182
Q112109691,P106,Q4964182
Q112109691,P69,Q223429
Q15452144,P106,Q4964182
Q15452144,P27,Q145
Q15452144,P101,Q82049
Q15452144,P69,Q4869749
Q113809132,P106,Q1234713
Q1237740,P27,Q155
Q1237740,P106,Q201788
Q1237740,P69,Q2667184
Q22133037,P106,Q4964182
Q20048385,P106,Q33999
Q20048385,P27,Q155
Q122510816,P27,Q36
Q122510816,P106,Q4964182
Q1458875,P27,Q183
Q1458875,P106,Q170790
Q1458875,P101,Q395
Q113125569,P27,Q38
Q113125569,P106,Q4964182
Q113811703,P106,Q1622272
Q982976,P27,Q30
Q982976,P69,Q13371
Q982976,P106,Q4964182
Q48646326,P106,Q4964182
Q48646326,P27,Q28513
Q112473764,P106,Q60098894
Q112473764,P101,Q375470
Q3420722,P106,Q3658608
Q3420722,P27,Q39
Q3018998,P106,Q201788
Q3018998,P27,Q174193
Q3018998,P69,Q56174883
Q27238061,P106,Q1622272
Q27238061,P27,Q183
Q27238061,P101,Q146491
Q7264058,P27,Q189
Q7264058,P106,Q4964182
Q7264058,P69,Q378134
Q29583532,P106,Q4964182
Q29583532,P27,Q142
Q94835239,P106,Q4964182
Q115427642,P106,Q4964182
Q3154105,P106,Q3658608
Q3154105,P27,Q218
Q3154105,P69,Q1474930
Q3154105,P1066,Q3101522
Q3154105,P802,Q18542392
Q3154105,P135,Q189458
Q3154105,P101,Q11629
Q3154105,P737,Q926472
Q47089033,P106,Q4964182
Q55597400,P106,Q4964182
Q55597400,P135,Q202253
Q55597400,P1066,Q579194
Q55597400,P802,Q316357
Q1507581,P27,Q30
Q1507581,P106,Q1238570
Q1507581,P69,Q49115
Q1507581,P101,Q5891
Q22084379,P123,Q273829
Q22084379,P291,Q90
Q22084379,P921,Q1450977
Q22084379,P31,Q7725634
